,dist_km,time_min,city,place_idx,name
0,982.756,621.8,Montréal,0,"""Choco-Lactee"""
1,765.618,497.5333,Québec,0,"""Choco-Lactee"""
2,996.203,625.1167,Laval,0,"""Choco-Lactee"""
3,1175.71,724.8333,Gatineau,0,"""Choco-Lactee"""
4,979.992,614.6,Longueuil,0,"""Choco-Lactee"""
5,963.908,606.0833,Sherbrooke,0,"""Choco-Lactee"""
6,745.001,487.3833,Lévis,0,"""Choco-Lactee"""
7,695.134,525.15,Saguenay,0,"""Choco-Lactee"""
8,872.348,554.5667,Trois-Rivières,0,"""Choco-Lactee"""
9,993.351,621.1667,Terrebonne,0,"""Choco-Lactee"""
10,58.408,43.3833,Montréal,1,2 Barn Owls - Hibou Decor
11,309.333,179.2,Québec,1,2 Barn Owls - Hibou Decor
12,59.738,45.0667,Laval,1,2 Barn Owls - Hibou Decor
13,155.982,94.3833,Gatineau,1,2 Barn Owls - Hibou Decor
14,65.028,52.0667,Longueuil,1,2 Barn Owls - Hibou Decor
15,208.076,125.7167,Sherbrooke,1,2 Barn Owls - Hibou Decor
16,293.764,171.0167,Lévis,1,2 Barn Owls - Hibou Decor
17,509.389,296.4,Saguenay,1,2 Barn Owls - Hibou Decor
18,184.476,110.95,Trois-Rivières,1,2 Barn Owls - Hibou Decor
19,73.837,53.15,Terrebonne,1,2 Barn Owls - Hibou Decor
20,278.089,167.95,Montréal,2,3 Poules A L'ile
21,25.42,21.2,Québec,2,3 Poules A L'ile
22,292.217,170.7167,Laval,2,3 Poules A L'ile
23,462.423,263.4167,Gatineau,2,3 Poules A L'ile
24,275.325,160.7667,Longueuil,2,3 Poules A L'ile
25,259.241,152.2333,Sherbrooke,2,3 Poules A L'ile
26,43.166,34.7167,Lévis,2,3 Poules A L'ile
27,227.136,140.3,Saguenay,2,3 Poules A L'ile
28,153.706,92.1,Trois-Rivières,2,3 Poules A L'ile
29,274.709,158.7,Terrebonne,2,3 Poules A L'ile
30,34.563,37.45,Montréal,3,60 Minutes / Jeux D'evasion
31,254.384,143.3833,Québec,3,60 Minutes / Jeux D'evasion
32,22.772,23.3333,Laval,3,60 Minutes / Jeux D'evasion
33,193.837,116.0667,Gatineau,3,60 Minutes / Jeux D'evasion
34,41.268,36.8333,Longueuil,3,60 Minutes / Jeux D'evasion
35,190.172,116.7333,Sherbrooke,3,60 Minutes / Jeux D'evasion
36,251.373,144.2,Lévis,3,60 Minutes / Jeux D'evasion
37,454.44,260.5833,Saguenay,3,60 Minutes / Jeux D'evasion
38,124.147,74.6167,Trois-Rivières,3,60 Minutes / Jeux D'evasion
39,4.981,9.7833,Terrebonne,3,60 Minutes / Jeux D'evasion
40,342.899,201.7,Montréal,4,7e Ciel
41,556.673,328.4833,Québec,4,7e Ciel
42,300.347,194.5667,Laval,4,7e Ciel
43,119.099,90.2167,Gatineau,4,7e Ciel
44,349.519,210.3833,Longueuil,4,7e Ciel
45,492.567,284.0333,Sherbrooke,4,7e Ciel
46,549.389,329.1667,Lévis,4,7e Ciel
47,756.729,445.6667,Saguenay,4,7e Ciel
48,426.436,259.7167,Trois-Rivières,4,7e Ciel
49,310.436,197.7833,Terrebonne,4,7e Ciel
50,479.176,284.85,Montréal,5,A Dore le Lac
51,226.376,137.5667,Québec,5,A Dore le Lac
52,493.304,287.6167,Laval,5,A Dore le Lac
53,663.51,380.3167,Gatineau,5,A Dore le Lac
54,476.412,277.65,Longueuil,5,A Dore le Lac
55,460.328,269.1333,Sherbrooke,5,A Dore le Lac
56,244.253,151.6167,Lévis,5,A Dore le Lac
57,37.711,27.1667,Saguenay,5,A Dore le Lac
58,354.793,209.0,Trois-Rivières,5,A Dore le Lac
59,475.796,275.6,Terrebonne,5,A Dore le Lac
60,133.724,84.55,Montréal,6,A L'Abordage Canot-Kayak Tremblant
61,370.064,206.8667,Québec,6,A L'Abordage Canot-Kayak Tremblant
62,113.738,72.95,Laval,6,A L'Abordage Canot-Kayak Tremblant
63,146.527,98.3,Gatineau,6,A L'Abordage Canot-Kayak Tremblant
64,140.344,93.2333,Longueuil,6,A L'Abordage Canot-Kayak Tremblant
65,283.392,166.8833,Sherbrooke,6,A L'Abordage Canot-Kayak Tremblant
66,362.78,207.5667,Lévis,6,A L'Abordage Canot-Kayak Tremblant
67,570.12,324.0667,Saguenay,6,A L'Abordage Canot-Kayak Tremblant
68,239.827,138.1,Trois-Rivières,6,A L'Abordage Canot-Kayak Tremblant
69,123.827,76.1833,Terrebonne,6,A L'Abordage Canot-Kayak Tremblant
70,33.059,33.6833,Montréal,7,A La Claire Fontaine Spa
71,244.229,146.45,Québec,7,A La Claire Fontaine Spa
72,56.412,47.1833,Laval,7,A La Claire Fontaine Spa
73,228.567,142.35,Gatineau,7,A La Claire Fontaine Spa
74,25.895,28.15,Longueuil,7,A La Claire Fontaine Spa
75,129.899,80.1333,Sherbrooke,7,A La Claire Fontaine Spa
76,228.66,138.25,Lévis,7,A La Claire Fontaine Spa
77,444.285,263.6333,Saguenay,7,A La Claire Fontaine Spa
78,162.088,101.4833,Trois-Rivières,7,A La Claire Fontaine Spa
79,53.281,44.9833,Terrebonne,7,A La Claire Fontaine Spa
80,33.978,36.6833,Montréal,8,A Vol d'Oiseau
81,249.696,139.4833,Québec,8,A Vol d'Oiseau
82,26.219,23.1333,Laval,8,A Vol d'Oiseau
83,196.425,115.8333,Gatineau,8,A Vol d'Oiseau
84,40.683,36.0833,Longueuil,8,A Vol d'Oiseau
85,189.587,115.9667,Sherbrooke,8,A Vol d'Oiseau
86,246.685,140.3,Lévis,8,A Vol d'Oiseau
87,449.752,256.6833,Saguenay,8,A Vol d'Oiseau
88,119.459,70.7167,Trois-Rivières,8,A Vol d'Oiseau
89,8.711,11.1167,Terrebonne,8,A Vol d'Oiseau
90,50.54,37.7333,Montréal,9,A la Croisee des Pommes
91,291.127,161.75,Québec,9,A la Croisee des Pommes
92,33.543,27.3333,Laval,9,A la Croisee des Pommes
93,164.372,103.8833,Gatineau,9,A la Croisee des Pommes
94,57.16,46.4,Longueuil,9,A la Croisee des Pommes
95,200.208,120.0667,Sherbrooke,9,A la Croisee des Pommes
96,282.585,161.95,Lévis,9,A la Croisee des Pommes
97,491.183,278.95,Saguenay,9,A la Croisee des Pommes
98,160.89,92.9833,Trois-Rivières,9,A la Croisee des Pommes
99,44.89,31.0667,Terrebonne,9,A la Croisee des Pommes
100,159.685,103.8,Montréal,10,A la dRoute : Rallye et pique-nique gourmand
101,123.689,78.0167,Québec,10,A la dRoute : Rallye et pique-nique gourmand
102,173.132,107.1167,Laval,10,A la dRoute : Rallye et pique-nique gourmand
103,352.639,206.85,Gatineau,10,A la dRoute : Rallye et pique-nique gourmand
104,156.921,96.6167,Longueuil,10,A la dRoute : Rallye et pique-nique gourmand
105,94.746,73.2667,Sherbrooke,10,A la dRoute : Rallye et pique-nique gourmand
106,108.12,69.8333,Lévis,10,A la dRoute : Rallye et pique-nique gourmand
107,323.745,195.2167,Saguenay,10,A la dRoute : Rallye et pique-nique gourmand
