index,name,latitude,longitude,website,phone,email,num_reviews,rating,website_status_code
0,"""Choco-Lactee""",48.52154,-64.213104,http://www.chocolactee.com/web/?page_id=48,,,10,4.0,200
1,2 Barn Owls - Hibou Decor,45.45663,-74.14055,http://www.2barnowls.com/,+1 514-795-4361,,2,4.5,200
2,3 Poules A L'ile,46.86272,-71.00072,http://www.3poulesenligne.com,+1 418-573-0641,,1,4.0,200
3,60 Minutes / Jeux D'evasion,45.739605,-73.61140400000001,http://www.evasion60minutes.ca,+1 450-325-1771,,1,5.0,200
4,7e Ciel,45.85367,-76.73451999999999,http://www.facebook.com/7ecielkimberlyaubrey/,+1 819-238-6575,,1,5.0,200
5,A Dore le Lac,48.447113,-71.51263,http://www.adorelelac.com/,+1 418-487-6099,guide@adorelelac.com,1,5.0,200
6,A L'Abordage Canot-Kayak Tremblant,46.11991,-74.60627,http://alabordage.ca,+1 819-322-1234,locationcanotkayak@gmail.com,24,4.5,200
7,A La Claire Fontaine Spa,45.44675,-73.27065,http://www.alaclairefontaine.ca/,+1 866-447-5888,alaclairefontaine_spa@hotmail.com,0,,200
8,A Vol d'Oiseau,45.702023,-73.570786,http://www.avoldoiseau.ca,+1 450-729-3003,info@avoldoiseau.ca,1,5.0,200
9,A la Croisee des Pommes,45.519104,-73.99071500000001,http://www.alacroiseedespommes.com/,+1 450-623-8621,,5,3.5,200
10,A la dRoute : Rallye et pique-nique gourmand,46.055923,-71.960075,,+1 819-758-3155,reservations@aladroute.ca,1,5.0,404
11,A's - Secondemain Antique Gift Shop & Art Galery,45.45815,-74.14019,https://www.facebook.com/524main/,+1 514-501-1729,jgbartiste@gmail.com,3,5.0,200
12,A.L.M. Par avion,45.58825,-73.23769,http://www.almparavion.com/FR/,+1 450-339-4399,info@almparavion.com,8,4.5,200
13,A/Maze Pointe-Claire,45.464584,-73.83038,http://www.amazemontreal.com/escape-room-fairview-pointe-claire/,+1 514-504-2139,escape@amazemontreal.com,31,4.0,200
14,AMG Therapy,45.45033,-73.79178,http://amgtherapy.com/,+1 514-576-5037,info@amgtherapy.com,1,4.0,406
15,ASA Paintball,45.28937,-73.18804,http://www.asapaintball.com,+1 450-346-2489,,0,,200
16,ASTER - Organisme de Vulgarisation Scientifique,47.66571,-69.00918,http://www.asterbsl.ca/en/,+1 418-854-2172,info@asterbsl.ca,7,5.0,403
17,ASTROLab du parc national du Mont-Megantic,45.455738,-71.15258,http://astrolab-parc-national-mont-megantic.org,+1 800-665-6527,parc.mont-megantic@sepaq.com,136,4.5,200
18,AURA Experience,45.50437,-73.55684000000001,http://www.aurabasiliquemontreal.com,+1 866-842-2925,,492,4.0,200
19,Abbaye Benedictine Sainte-Marie des Deux-Montagnes,45.53246,-73.91296,,+1 450-473-7278,,1,5.0,404
