super_category,category,category_icon,activity_en_new,activity_new_icon,index,tags
Discover,Art & Culture,palette,Antique Stores,clock,928,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Art,palette,928,"antique stores, art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,928,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Antique Stores,clock,11,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Art,palette,11,"antique stores, art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,11,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Antique Stores,clock,65,antique stores
Discover,Art & Culture,palette,Antique Stores,clock,1817,"antique stores, street markets"
Relax,Shopping,tag,Street Markets,tag,1817,"antique stores, street markets"
Discover,Art & Culture,palette,Antique Stores,clock,2713,"antique stores, department stores, gift shops"
Relax,Shopping,tag,Department Stores,tag,2713,"antique stores, department stores, gift shops"
Relax,Shopping,tag,Gift Shops,tag,2713,"antique stores, department stores, gift shops"
Discover,Art & Culture,palette,Antique Stores,clock,1553,antique stores
Discover,Art & Culture,palette,Antique Stores,clock,1860,"antique stores, gift shops"
Relax,Shopping,tag,Gift Shops,tag,1860,"antique stores, gift shops"
Discover,Art & Culture,palette,Antique Stores,clock,1931,antique stores
Discover,Art & Culture,palette,Antique Stores,clock,1949,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Art,palette,1949,"antique stores, art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,1949,"antique stores, art, gift shops"
Discover,Art & Culture,palette,Art,palette,97,art
Discover,Art & Culture,palette,Art,palette,2217,"art, history museums"
Discover,History,landmark,History Museums,monument,2217,"art, history museums"
Others,Others,,Other activities,,2217,"art, history museums"
Discover,Art & Culture,palette,Art,palette,2941,art
Discover,Art & Culture,palette,Art,palette,1333,"art, points of interest"
Discover,Points of Interest,location-pin,Points of Interest,location-pin,1333,"art, points of interest"
Discover,Art & Culture,palette,Art,palette,37,art
Discover,Art & Culture,palette,Art,palette,1326,art
Discover,Art & Culture,palette,Art,palette,2176,"art, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2176,"art, theme parks"
Discover,Art & Culture,palette,Art,palette,600,"art, visitors centers, gift shops"
Discover,Visitors Centers,question,Visitors Centers,question,600,"art, visitors centers, gift shops"
Relax,Shopping,tag,Gift Shops,tag,600,"art, visitors centers, gift shops"
Discover,Art & Culture,palette,Art,palette,1649,art
Discover,Art & Culture,palette,Art,palette,2178,art
Discover,Art & Culture,palette,Art,palette,1973,art
Discover,Art & Culture,palette,Art,palette,3012,art
Discover,Art & Culture,palette,Art,palette,107,"art, gift shops"
Relax,Shopping,tag,Gift Shops,tag,107,"art, gift shops"
Discover,Art & Culture,palette,Art,palette,1330,art
Discover,Art & Culture,palette,Art,palette,521,art
Discover,Art & Culture,palette,Art,palette,1569,art
Discover,Art & Culture,palette,Art,palette,2152,"art, theme parks"
With kids,Theme Parks,puzzle-piece,Theme Parks,puzzle-piece,2152,"art, theme parks"
Discover,Art & Culture,palette,Art,palette,1533,art
Discover,Art & Culture,palette,Art,palette,2206,art
Discover,Art & Culture,palette,Art,palette,1437,art
Discover,Art & Culture,palette,Art,palette,2746,art
