super_category,super_category_fr,category,category_fr,category_icon,activity_en_new,activity_fr,activity_new_icon,index,tags,tags_fr
Discover,Découverte,Art & Culture,Art & Culture,palette,Antique Stores,Magasins d'antiquités,clock,1817,"antique stores, shopping","magasins d'antiquités, centres commerciaux"
Relax,Détente,Shopping,Magasinage,tag,Shopping,Centres commerciaux,tag,1817,"antique stores, shopping","magasins d'antiquités, centres commerciaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Antique Stores,Magasins d'antiquités,clock,1949,"antique stores, art, gift shops","magasins d'antiquités, art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1949,"antique stores, art, gift shops","magasins d'antiquités, art, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,1949,"antique stores, art, gift shops","magasins d'antiquités, art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Antique Stores,Magasins d'antiquités,clock,11,"antique stores, art, gift shops","magasins d'antiquités, art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,11,"antique stores, art, gift shops","magasins d'antiquités, art, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,11,"antique stores, art, gift shops","magasins d'antiquités, art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Antique Stores,Magasins d'antiquités,clock,1860,"antique stores, gift shops","magasins d'antiquités, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,1860,"antique stores, gift shops","magasins d'antiquités, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Antique Stores,Magasins d'antiquités,clock,65,antique stores,magasins d'antiquités
Discover,Découverte,Art & Culture,Art & Culture,palette,Antique Stores,Magasins d'antiquités,clock,928,"antique stores, art, gift shops","magasins d'antiquités, art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,928,"antique stores, art, gift shops","magasins d'antiquités, art, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,928,"antique stores, art, gift shops","magasins d'antiquités, art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Antique Stores,Magasins d'antiquités,clock,2713,"antique stores, gift shops, shopping","magasins d'antiquités, boutiques de cadeaux, centres commerciaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,2713,"antique stores, gift shops, shopping","magasins d'antiquités, boutiques de cadeaux, centres commerciaux"
Relax,Détente,Shopping,Magasinage,tag,Shopping,Centres commerciaux,tag,2713,"antique stores, gift shops, shopping","magasins d'antiquités, boutiques de cadeaux, centres commerciaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Antique Stores,Magasins d'antiquités,clock,1553,antique stores,magasins d'antiquités
Discover,Découverte,Art & Culture,Art & Culture,palette,Antique Stores,Magasins d'antiquités,clock,1931,antique stores,magasins d'antiquités
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,537,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2262,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1533,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1332,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,37,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1316,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1319,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2175,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1819,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,91,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1312,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1968,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,210,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1346,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,521,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2860,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,551,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,105,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1626,"art, museums","art, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1626,"art, museums","art, musées"
Others,Autres,Others,Autres,,Other activities,Autres,,1626,"art, museums","art, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1973,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2621,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1344,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,600,"art, visitors centers, gift shops","art, centres visiteurs, boutiques de cadeaux"
Discover,Découverte,Visitors Centers,Centres visiteurs,question,Visitors Centers,Centres visiteurs,question,600,"art, visitors centers, gift shops","art, centres visiteurs, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,600,"art, visitors centers, gift shops","art, centres visiteurs, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,109,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1339,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,455,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1338,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1554,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1336,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1311,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2178,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1611,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1588,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,547,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1948,"art, museums","art, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1948,"art, museums","art, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2549,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,3088,"art, gift shops","art, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,3088,"art, gift shops","art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1556,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,211,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,534,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1711,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1320,"art, points of interest","art, points d'interêts"
Discover,Découverte,Points of Interest,Points d'interêts,location-pin,Points of Interest,Points d'interêts,location-pin,1320,"art, points of interest","art, points d'interêts"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1970,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2712,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1437,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,96,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,101,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2710,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,108,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,110,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2177,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2176,"art, theme parks","art, parcs d'attractions"
Family,Familial,Theme Parks,Parcs d'attractions,puzzle-piece,Theme Parks,Parcs d'attractions,puzzle-piece,2176,"art, theme parks","art, parcs d'attractions"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,95,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1333,"art, points of interest","art, points d'interêts"
Discover,Découverte,Points of Interest,Points d'interêts,location-pin,Points of Interest,Points d'interêts,location-pin,1333,"art, points of interest","art, points d'interêts"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2217,"art, history museums","art, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,2217,"art, history museums","art, musées d'histoire"
Others,Autres,Others,Autres,,Other activities,Autres,,2217,"art, history museums","art, musées d'histoire"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1649,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,894,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2909,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1337,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1523,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2907,"art, gift shops","art, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,2907,"art, gift shops","art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,106,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2152,"art, theme parks","art, parcs d'attractions"
Family,Familial,Theme Parks,Parcs d'attractions,puzzle-piece,Theme Parks,Parcs d'attractions,puzzle-piece,2152,"art, theme parks","art, parcs d'attractions"
